"SYMBOL","annotation","distanceToTSS"
"TEAD1","Intron (ENST00000527636.7/7003, intron 5 of 12)",-10460
"DKK2","Intron (ENST00000650850.1/105377356, intron 6 of 10)",136859
"SYNE1","Intron (ENST00000423061.6/23345, intron 2 of 145)",10387
"ADGRA2","Promoter (<=1kb)",423
"CAST","Promoter (<=1kb)",658
"IKZF3","Promoter (<=1kb)",0
"BRME1","Promoter (2-3kb)",2667
"ERBB4","Intron (ENST00000342788.9/2066, intron 20 of 27)",209806
"PLA2R1","3' UTR",4730
"ALDH1A2","Intron (ENST00000537372.5/8854, intron 8 of 13)",-4631
"PRKG1","Intron (ENST00000401604.8/5592, intron 5 of 17)",-86028
"XRCC2","Distal Intergenic",-35081
"CACNA1G","Intron (ENST00000359106.10/8913, intron 26 of 37)",13917
"KIF2C","Promoter (1-2kb)",1572
"SORBS1","Exon (ENST00000371227.8/10580, exon 28 of 32)",19021
"HMCN2","Intron (ENST00000683500.2/256158, intron 85 of 97)",-7741
"PLD1","Exon (ENST00000460926.1/5337, exon 2 of 2)",-17762
"CPAMD8","Promoter (1-2kb)",1631
"ALDH1A2","3' UTR",-46743
"IL1RL2","Promoter (1-2kb)",-1369
"DUSP9","Promoter (1-2kb)",1542
"ECT2","Promoter (1-2kb)",1550
"HHIPL2","Exon (ENST00000740068.1/ENST00000740068.1, exon 1 of 2)",-3777
"STARD9","Intron (ENST00000290607.12/57519, intron 3 of 32)",15997
"PRKG1","Intron (ENST00000401604.8/5592, intron 5 of 17)",-42109
"ITIH5","Promoter (<=1kb)",-553
"CCBE1","Promoter (<=1kb)",0
"SGK2","Promoter (2-3kb)",-2775
"PTPN6","Promoter (<=1kb)",-641
"EPHA2-AS1","Promoter (<=1kb)",-111
"CITED2","Promoter (<=1kb)",777
"IL16","Promoter (<=1kb)",43
"TACC1","Intron (ENST00000519416.5/6867, intron 1 of 12)",12766
"ABCA9","Distal Intergenic",-6817
"ADGRD1","3' UTR",15859
"DNAJC18","Promoter (<=1kb)",190
"CHST6","Intron (ENST00000530512.3/ENST00000530512.3, intron 1 of 1)",13513
"TSHZ2","Intron (ENST00000371497.10/128553, intron 1 of 2)",-22653
"LPCAT1","Promoter (1-2kb)",-1003
"DTL","Distal Intergenic",10094
"KCNJ10","Intron (ENST00000639408.2/124904436, intron 1 of 3)",9670
"GNB4","Intron (ENST00000232564.8/59345, intron 2 of 9)",4362
"PMEL","Promoter (<=1kb)",208
"ZBTB16","Intron (ENST00000682278.1/7704, intron 5 of 7)",18722
"GREB1","Promoter (<=1kb)",736
"DGAT2","Promoter (<=1kb)",-240
"AP1S3","Intron (ENST00000699384.1/130340, intron 10 of 10)",77841
"SRD5A3","Promoter (1-2kb)",-1633
"MOB3B","3' UTR",-18420
"LAMA2","Exon (ENST00000617695.5/3908, exon 14 of 64)",-89969
"ABR","Intron (ENST00000302538.10/29, intron 1 of 22)",6794
"E2F2","Promoter (<=1kb)",-98
"ABLIM1","Intron (ENST00000651092.1/3983, intron 1 of 15)",-9803
"GREB1","Promoter (1-2kb)",1357
"SEMA6A","Promoter (2-3kb)",-2853
"CIDEA","Intron (ENST00000522713.5/1149, intron 4 of 5)",17265
"SLC15A3","Promoter (1-2kb)",-1100
"DAAM2","Intron (ENST00000633794.1/23500, intron 8 of 25)",-14649
"ADH4","Intron (ENST00000757801.1/100507053, intron 2 of 5)",18116
"CSMD2","Intron (ENST00000373381.9/114784, intron 29 of 70)",-14583
"IGF2BP1","Intron (ENST00000290341.8/10642, intron 5 of 14)",9695
"PCDH17","Promoter (2-3kb)",-2160
"KPNA2","Exon (ENST00000846930.1/ENST00000846930.1, exon 1 of 2)",-15440
"IL16","Intron (ENST00000560989.1/ENST00000560989.1, intron 1 of 1)",-18103
"DNMBP","Promoter (<=1kb)",144
"GAS7","Intron (ENST00000432992.7/8522, intron 4 of 13)",-6187
"GRIK3","Intron (ENST00000373091.8/2899, intron 1 of 15)",30911
"RELN","Exon (ENST00000343529.9/5649, exon 5 of 64)",-117504
"LDB2","Promoter (1-2kb)",-1832
"PRDM16","Intron (ENST00000511072.5/63976, intron 10 of 15)",-7505
"GLI3","Promoter (1-2kb)",-1910
"PTGIS","Intron (ENST00000244043.5/5740, intron 3 of 9)",22216
"NUP210","Intron (ENST00000254508.7/23225, intron 3 of 39)",28630
"CYRIB","Promoter (<=1kb)",515
"KIF26B","Intron (ENST00000407071.7/55083, intron 2 of 14)",-8301
"NMNAT3","Intron (ENST00000662234.1/100507291, intron 5 of 7)",11049
"HPSE2","Intron (ENST00000370552.8/60495, intron 3 of 11)",-4307
"RAI2","Intron (ENST00000415486.7/10742, intron 1 of 2)",24666
"DUSP9","Intron (ENST00000746876.1/ENST00000746876.1, intron 1 of 3)",-5916
"ACAN","Exon (ENST00000560601.4/176, exon 3 of 19)",-33984
"FNDC1","Promoter (<=1kb)",-482
"DGKG","Intron (ENST00000265022.8/1608, intron 11 of 24)",6267
"MAGI2","Intron (ENST00000354212.9/9863, intron 1 of 21)",79494
"PIK3R1","Intron (ENST00000517412.2/5295, intron 2 of 2)",-7618
"FREM1","Intron (ENST00000380894.5/158326, intron 4 of 13)",4656
"S100P","Distal Intergenic",7579
"HMGB3","Distal Intergenic",18632
"TPM1","Promoter (<=1kb)",0
"CCBE1","Distal Intergenic",-85475
"NES","Distal Intergenic",-6903
"PLAC9","Promoter (1-2kb)",-1114
"ADAMTSL5","Promoter (<=1kb)",0
"FHL1","Promoter (<=1kb)",-489
"DTL","Distal Intergenic",37785
"MASP1","Intron (ENST00000636210.2/101929130, intron 1 of 1)",-3748
"IFFO2","Distal Intergenic",-55693
"NMNAT3","Intron (ENST00000658348.1/100507291, intron 5 of 6)",-46067
"MAOB","Intron (ENST00000378069.5/4129, intron 3 of 14)",45577
"NMNAT3","Intron (ENST00000658348.1/100507291, intron 5 of 6)",-40499
"GLI3","Intron (ENST00000678429.1/2737, intron 2 of 14)",-33802
"RUNX1T1","Promoter (1-2kb)",-1974
"NUP210","Distal Intergenic",18387
"LOC124901094","Intron (ENST00000732555.1/ENST00000732555.1, intron 1 of 1)",17472
"GABBR2","Intron (ENST00000259455.4/9568, intron 11 of 18)",4800
"CHPF","Promoter (1-2kb)",1063
"GAREM1","Promoter (2-3kb)",-2479
"GPD1","Promoter (2-3kb)",-2060
"HSPB7","Distal Intergenic",5015
"CD34","Intron (ENST00000742950.1/107985253, intron 2 of 2)",-12174
"PRKG1","Promoter (1-2kb)",-1876
"TNFRSF9","Promoter (<=1kb)",558
"TMEM164","Distal Intergenic",-112643
"DSC3","Intron (ENST00000360428.9/1825, intron 14 of 15)",7422
"PAPPA","Exon (ENST00000328252.4/5069, exon 5 of 22)",65966
"MLXIPL","Distal Intergenic",-4760
"SSPN","Promoter (2-3kb)",-2247
"ESR1","Distal Intergenic",-8414
"SYNE3","Intron (ENST00000557275.5/161176, intron 16 of 16)",28878
"SYNE3","Intron (ENST00000557275.5/161176, intron 5 of 16)",3437
"CCNE1","Distal Intergenic",-25493
"CYP4F24P","Promoter (<=1kb)",644
"TRPC6","Distal Intergenic",18728
"MYLK","Promoter (2-3kb)",2818
"OAS2","Promoter (2-3kb)",2559
"PAMR1","Intron (ENST00000622144.4/25891, intron 3 of 11)",37738
"LOC105378781","Intron (ENST00000835198.1/105378781, intron 2 of 3)",16571
"MAGI2","Intron (ENST00000354212.9/9863, intron 1 of 21)",53409
"UBXN10","Promoter (1-2kb)",-1216
"ANK2","Exon (ENST00000672955.1/287, exon 17 of 44)",-11544
"MSR1","3' UTR",43351
"SYNE1","Promoter (<=1kb)",0
"H2BC11","Distal Intergenic",17326
"THSD4","Intron (ENST00000355327.7/79875, intron 7 of 17)",28302
"WFDC5","Promoter (2-3kb)",2940
"ZNF541","Promoter (<=1kb)",0
"DGKG","Intron (ENST00000265022.8/1608, intron 17 of 24)",6030
"MELK","Intron (ENST00000536329.5/9833, intron 4 of 15)",24565
"PPP1R12B","Intron (ENST00000608999.6/4660, intron 18 of 23)",4543
"SYBU","Intron (ENST00000276646.14/55638, intron 2 of 6)",3520
"CENPF","Exon (ENST00000706765.1/1063, exon 11 of 19)",-10621
"SBK1","3' UTR",31215
"AP1S3","Promoter (2-3kb)",-2067
"SLC6A2","Distal Intergenic",-32384
"MMRN2","Promoter (1-2kb)",-1052
"AKAP6","Intron (ENST00000280979.9/9472, intron 9 of 13)",17689
"PTPN5","Intron (ENST00000836338.1/ENST00000836338.1, intron 1 of 2)",-60670
"TFPI","Promoter (<=1kb)",-964
"THSD4","Intron (ENST00000355327.7/79875, intron 6 of 17)",54387
"GAS7","Promoter (1-2kb)",-1929
"SNTB1","Intron (ENST00000517739.1/ENST00000517739.1, intron 1 of 3)",-125829
"ETS2","Intron (ENST00000663561.1/400867, intron 2 of 2)",23572
"GLDN","Intron (ENST00000335449.11/342035, intron 2 of 9)",5533
"KRT5","Intron (ENST00000794060.1/ENST00000794060.1, intron 2 of 3)",8763
"SEMA3G","Promoter (<=1kb)",0
"CDCA2","Distal Intergenic",30198
"SH3BGRL2","Intron (ENST00000718098.1/83699, intron 2 of 4)",14723
"GFRA1","Distal Intergenic",-11167
"COL22A1","Intron (ENST00000303045.11/169044, intron 3 of 64)",-23383
"TFPI","Intron (ENST00000453517.5/105373786, intron 3 of 3)",-3947
"HPSE2","Intron (ENST00000370552.8/60495, intron 3 of 11)",-46827
"PLPP3","Promoter (2-3kb)",2136
"DGAT2","Promoter (<=1kb)",0
"CCBE1","Intron (ENST00000589242.1/ENST00000589242.1, intron 1 of 4)",-4235
"C5AR1","Promoter (<=1kb)",-5
"SIGLEC8","Distal Intergenic",18555
"GRIK3","Intron (ENST00000373091.8/2899, intron 1 of 15)",16055
"CORO6","Promoter (<=1kb)",0
"ARHGAP6","Intron (ENST00000495242.5/395, intron 1 of 14)",-32654
"C1orf21","Intron (ENST00000235307.7/81563, intron 1 of 5)",-11440
"SYBU","Promoter (<=1kb)",601
"KIF14","Intron (ENST00000447706.6/83479, intron 7 of 7)",-13776
"LAMA2","Promoter (<=1kb)",0
"CRMA","Exon (ENST00000788149.1/253868, exon 6 of 6)",4797
"PITX1","Distal Intergenic",12357
"ZNF469","Promoter (1-2kb)",-1639
"ADA2","Exon (ENST00000344033.5/ENST00000344033.5, exon 2 of 2)",-4164
"GAS7","Intron (ENST00000432992.7/8522, intron 2 of 13)",-28387
"PTPN5","Intron (ENST00000527285.1/120883618, intron 2 of 2)",3855
"KRTDAP","Intron (ENST00000810156.1/ENST00000810156.1, intron 2 of 2)",13980
"GLI3","Promoter (<=1kb)",503
"MOB3B","Promoter (<=1kb)",0
"CYRIB","Intron (ENST00000521014.1/ENST00000521014.1, intron 1 of 1)",-29365
"TEAD4","Intron (ENST00000358409.7/7004, intron 9 of 11)",25286
"ALDH3A2","Promoter (1-2kb)",-1943
"RUNX1T1","Promoter (1-2kb)",1885
"ETS2","Distal Intergenic",-8406
"RELN","Intron (ENST00000343529.9/5649, intron 2 of 63)",100979
"LOC102724210","Distal Intergenic",120874
"FHL1","Intron (ENST00000629039.2/2273, intron 2 of 6)",3479
"PIK3C2G","Promoter (2-3kb)",2772
"GAS7","Distal Intergenic",-28322
"PLA2R1","Intron (ENST00000283243.13/22925, intron 19 of 29)",-23372
"TNS2","Promoter (<=1kb)",85
"SLC6A2","Distal Intergenic",-12476
"CEP126","Distal Intergenic",29521
"AP1S3","Intron (ENST00000699384.1/130340, intron 8 of 10)",42708
"PTPN13","Intron (ENST00000427191.6/5783, intron 2 of 46)",18084
"COL4A6","Promoter (1-2kb)",-1892
"ABLIM1","Intron (ENST00000729399.1/101927692, intron 3 of 3)",14625
"IGF2BP1","Intron (ENST00000290341.8/10642, intron 5 of 14)",6253
"ATP6V0E2","Promoter (<=1kb)",0
"RRM2","Promoter (1-2kb)",1404
"LOC105369315","Promoter (<=1kb)",0
"RRM2","Promoter (<=1kb)",94
"MAGI2","Intron (ENST00000354212.9/9863, intron 10 of 21)",-28281
"TRHDE-AS1","Intron (ENST00000548156.1/29953, intron 2 of 4)",-69464
"C1orf21","Intron (ENST00000235307.7/81563, intron 3 of 5)",-4763
"PLEKHG7","Intron (ENST00000344636.6/440107, intron 3 of 16)",9597
"SVIL","Exon (ENST00000355867.9/6840, exon 32 of 38)",11052
"MYOF","Intron (ENST00000463743.5/26509, intron 9 of 33)",-17503
"TACR2","Distal Intergenic",-10279
"MEIS2","Distal Intergenic",-32395
"SYNPO2","Intron (ENST00000610556.4/171024, intron 1 of 4)",14503
"PAPPA","Promoter (1-2kb)",-1092
"TACC1","Intron (ENST00000519416.5/6867, intron 1 of 12)",6035
"ZBTB16","Intron (ENST00000682278.1/7704, intron 3 of 7)",11546
"TEAD1","Intron (ENST00000527636.7/7003, intron 3 of 12)",-3380
"RBMS3","Distal Intergenic",24949
"RFX2","Intron (ENST00000836840.1/100128568, intron 2 of 2)",4049
"NMNAT3","Intron (ENST00000662234.1/100507291, intron 7 of 7)",-5435
"TOP2A","Promoter (<=1kb)",0
"SORBS1","Promoter (2-3kb)",2424
"PARP1","Distal Intergenic",-49343
"SH3RF2","Promoter (2-3kb)",-2721
"SLIT2","Promoter (2-3kb)",2150
"THSD4","Intron (ENST00000355327.7/79875, intron 7 of 17)",-8457
"GABBR2","Intron (ENST00000259455.4/9568, intron 2 of 18)",10237
"ARHGAP6","Intron (ENST00000495242.5/395, intron 1 of 14)",105802
"IGSF9B","Exon (ENST00000533871.8/22997, exon 11 of 20)",7077
"IRAG1","Intron (ENST00000547195.5/10335, intron 1 of 18)",4868
"CREB5","Promoter (2-3kb)",-2097
"TNNT1","Promoter (1-2kb)",1184
"COL22A1","Promoter (<=1kb)",-424
"P3H4","Promoter (<=1kb)",0
"GABBR2","Intron (ENST00000259455.4/9568, intron 3 of 18)",-7287
"LDB3","Intron (ENST00000685347.1/11155, intron 14 of 16)",-4685
"HOXC9","Intron (ENST00000513209.1/3222, intron 1 of 1)",3934
"RASL11A","Promoter (<=1kb)",0
"IL1RL2","Intron (ENST00000481806.1/8808, intron 9 of 9)",-5242
"SYNE1","Intron (ENST00000367257.8/23345, intron 5 of 24)",11641
"NBEA","Promoter (2-3kb)",-2127
"CLIC6","Intron (ENST00000349499.3/54102, intron 1 of 5)",18857
"HMCN2","Exon (ENST00000683500.2/256158, exon 22 of 98)",19591
"CREB5","Intron (ENST00000396299.6/9586, intron 4 of 9)",17629
"TACR2","Promoter (1-2kb)",1213
"SUN1","Promoter (2-3kb)",-2064
"PKD1L2","Promoter (<=1kb)",0
"ZNF469","Intron (ENST00000565624.3/84627, intron 1 of 2)",33016
"TMEM91","Promoter (<=1kb)",0
"DUSP9","Promoter (2-3kb)",2206
"TNS2","Promoter (<=1kb)",-125
"TINAGL1","Promoter (2-3kb)",2670
"SYBU","Distal Intergenic",-28517
"SORBS1","Intron (ENST00000371227.8/10580, intron 2 of 31)",15156
"LDB2","Intron (ENST00000782750.1/105374505, intron 3 of 4)",13044
"CSMD2","Promoter (1-2kb)",1844
"ATP1A2","Distal Intergenic",-6528
"PRR11","Intron (ENST00000578777.5/55771, intron 3 of 6)",10202
"CACNB2","Intron (ENST00000324631.13/783, intron 2 of 13)",-27654
"PITX1","Intron (ENST00000282611.8/347732, intron 7 of 7)",20645
"AHNAK","Intron (ENST00000530124.5/79026, intron 2 of 2)",19935
"PIK3R1","Distal Intergenic",40208
"GABBR2","Intron (ENST00000259455.4/9568, intron 1 of 18)",28887
"EVA1C","Promoter (1-2kb)",1907
"SGK2","Promoter (1-2kb)",-1030
"CDCA2","Intron (ENST00000380665.3/157313, intron 6 of 13)",-3714
"PER2","Distal Intergenic",-7636
"SVIL","Promoter (<=1kb)",0
"MAGI2","Promoter (2-3kb)",-2970
"GINS1","Intron (ENST00000696810.1/9837, intron 1 of 5)",8168
"MYL9","Promoter (<=1kb)",530
"DCT","Intron (ENST00000725275.1/ENST00000725275.1, intron 1 of 2)",32038
"ADAMTS14","Promoter (<=1kb)",-256
"GRIK3","Intron (ENST00000373091.8/2899, intron 1 of 15)",13172
"PDGFRA","Promoter (<=1kb)",-921
"RAI2","Intron (ENST00000844922.1/105373144, intron 1 of 3)",-83839
"CBX7","Intron (ENST00000475962.5/23492, intron 1 of 1)",12467
"TFPI","Intron (ENST00000434418.2/104355152, intron 3 of 3)",-277561
"RYR3","Intron (ENST00000415757.7/6263, intron 38 of 102)",29038
"COL22A1","Distal Intergenic",-123693
"ALDH1A2","Intron (ENST00000558231.5/8854, intron 1 of 12)",9008
"ANK2","Distal Intergenic",-52111
"MYOF","Intron (ENST00000463743.5/26509, intron 12 of 33)",-12464
"DNASE1L3","Promoter (2-3kb)",-2558
"ONECUT2","Promoter (2-3kb)",2118
"TEAD1","Intron (ENST00000527636.7/7003, intron 10 of 12)",35171
"COL14A1","Intron (ENST00000498051.6/7373, intron 2 of 22)",-17824
"LOC107987100","Intron (ENST00000778322.1/107987100, intron 2 of 2)",17353
"STMN1","Promoter (2-3kb)",2906
"OLFML2A","Exon (ENST00000373580.8/169611, exon 3 of 8)",-5749
"SNTB1","Promoter (2-3kb)",2727
"AP1S3","Intron (ENST00000699384.1/130340, intron 1 of 10)",-20333
"HPSE2","Distal Intergenic",-11036
"LBX2","Promoter (<=1kb)",0
"COL8A1","Intron (ENST00000483969.5/1295, intron 3 of 3)",-19749
"ACSBG1","Intron (ENST00000560817.5/23205, intron 1 of 9)",3277
"DSC3","Intron (ENST00000583580.1/ENST00000583580.1, intron 2 of 2)",35247
"TCAM1P","Promoter (<=1kb)",-315
"MEIS2","Exon (ENST00000771073.1/ENST00000771073.1, exon 2 of 2)",-5135
"DNAJC22","Exon (ENST00000552651.2/ENST00000552651.2, exon 2 of 2)",9221
"TMEM164","Distal Intergenic",-91296
"THSD4","Intron (ENST00000355327.7/79875, intron 7 of 17)",-106436
"RHPN1","Distal Intergenic",5786
"CYRIB","Promoter (<=1kb)",924
"CAST","Intron (ENST00000718091.1/831, intron 3 of 11)",-9786
"SVIL","Intron (ENST00000729321.1/102724316, intron 2 of 4)",4979
"SYBU","Distal Intergenic",-43522
"COL22A1","Distal Intergenic",-37484
"FREM1","Intron (ENST00000380880.4/158326, intron 7 of 36)",-53955
"CACNA1B","Exon (ENST00000413253.1/774, exon 4 of 5)",25244
"DSC3","Distal Intergenic",116732
"EIF4EBP1","Promoter (<=1kb)",463
"TPT1-AS1","Intron (ENST00000517509.5/100190939, intron 3 of 10)",-6731
"CIDEA","Intron (ENST00000522713.5/1149, intron 4 of 5)",16993
"AKAP6","Intron (ENST00000280979.9/9472, intron 5 of 13)",-28279
"ARHGAP6","Promoter (<=1kb)",131
"NUF2","Distal Intergenic",20938
"CD34","Promoter (1-2kb)",1798
"IGF1","Promoter (<=1kb)",0
"TENM2","Promoter (2-3kb)",2036
"TSHZ2","Exon (ENST00000435057.1/ENST00000435057.1, exon 4 of 5)",11026
"CBX7","Distal Intergenic",16574
"ZYG11A","Promoter (<=1kb)",0
"COL21A1","Intron (ENST00000370819.5/81578, intron 1 of 28)",23846
"LIMD2","Promoter (2-3kb)",2325
"ADRA1A","Intron (ENST00000380586.5/148, intron 2 of 2)",90193
"LTBP4","Promoter (<=1kb)",-128
"TSHZ2","Intron (ENST00000371497.10/128553, intron 1 of 2)",22863
"ABHD12B","Intron (ENST00000557152.1/ENST00000557152.1, intron 1 of 1)",-11333
"PLK1","Promoter (<=1kb)",-175
"AKAP6","Intron (ENST00000280979.9/9472, intron 2 of 13)",-4033
"SYNPO2","Promoter (1-2kb)",1119
"AP1S3","Intron (ENST00000650969.1/130340, intron 12 of 16)",-22082
"KRT77","Promoter (2-3kb)",2844
"OLR1","Distal Intergenic",7034
"MAST4","Promoter (2-3kb)",-2272
"HPSE2","Distal Intergenic",-41070
"HPSE2","Intron (ENST00000370552.8/60495, intron 2 of 11)",63338
"SNTB1","Intron (ENST00000517739.1/ENST00000517739.1, intron 1 of 3)",-143454
"ACACB","Intron (ENST00000338432.12/32, intron 44 of 52)",6585
"GATM","Promoter (2-3kb)",2283
"ANTXR2","Intron (ENST00000403729.7/118429, intron 16 of 16)",47409
"GABBR2","Intron (ENST00000259455.4/9568, intron 12 of 18)",6062
"ESR1","Intron (ENST00000473497.5/2099, intron 1 of 2)",5390
"LAMA2","Intron (ENST00000617695.5/3908, intron 34 of 63)",5408
"PCSK2","Intron (ENST00000377899.5/5126, intron 8 of 12)",-31372
"FREM1","Intron (ENST00000380894.5/158326, intron 4 of 13)",5399
"NYNRIN","Promoter (<=1kb)",-250
"SCML1","Distal Intergenic",44632
"EIF4EBP1","3' UTR",12895
"DHRS12","3' UTR",5754
"GRIK3","Intron (ENST00000373091.8/2899, intron 5 of 15)",-5116
"COL22A1","Intron (ENST00000341807.8/169044, intron 6 of 38)",21637
"SNX33","Promoter (<=1kb)",27
"SYBU","Intron (ENST00000532779.5/55638, intron 1 of 5)",-3615
"SLC25A10","Promoter (<=1kb)",287
"SH3PXD2A","Intron (ENST00000783206.1/ENST00000783206.1, intron 1 of 1)",-4505
"IQCN","Promoter (1-2kb)",1823
"MAOA","Distal Intergenic",-94997
"PLSCR4","Promoter (2-3kb)",2884
"IFI6","Promoter (<=1kb)",-70
"PACSIN1","Promoter (<=1kb)",-23
"VSTM2L","Intron (ENST00000808192.1/124904896, intron 2 of 2)",-5622
"LINC01429","Intron (ENST00000732945.1/ENST00000732945.1, intron 1 of 2)",-103559
"ABR","Promoter (<=1kb)",109
"CSK","Promoter (<=1kb)",-470
"FLNC","Promoter (<=1kb)",825
"HOPX","Intron (ENST00000554144.5/84525, intron 1 of 4)",-11813
"CSTA","Distal Intergenic",-25153
"IGFL2","Exon (ENST00000666136.1/645553, exon 3 of 3)",-6485
"CD7","3' UTR",-3996
"MMRN1","Promoter (<=1kb)",0
"ABLIM1","Intron (ENST00000392955.8/3983, intron 10 of 22)",-3253
"CACNB2","Distal Intergenic",-35825
"ZNF469","Intron (ENST00000565624.3/84627, intron 1 of 2)",20991
"CSK","Promoter (<=1kb)",-73
"CLMP","Intron (ENST00000836643.1/ENST00000836643.1, intron 2 of 2)",-5403
"GALNT16","Intron (ENST00000337827.8/57452, intron 12 of 15)",-5064
"PALMD","Promoter (2-3kb)",2514
"FHL1","Promoter (<=1kb)",279
"MAST4","Intron (ENST00000403625.7/375449, intron 24 of 28)",7637
"TACC1","Distal Intergenic",9710
"SPOCD1","Intron (ENST00000770477.1/ENST00000770477.1, intron 2 of 3)",-45441
"SRRM3","Intron (ENST00000611745.2/222183, intron 1 of 14)",-14670
"PLD1","Intron (ENST00000351298.9/5337, intron 21 of 26)",-3283
"ERBB4","Intron (ENST00000722809.1/ENST00000722809.1, intron 3 of 3)",-28908
"ATF3","Promoter (<=1kb)",545
"TOP2A","Promoter (2-3kb)",2132
"LTBP4","Promoter (<=1kb)",-744
"DGKG","Promoter (2-3kb)",-2018
"NUF2","Distal Intergenic",19035
"CACNA1G","Promoter (2-3kb)",-2752
"SYNE3","Intron (ENST00000557275.5/161176, intron 16 of 16)",24671
"TENM2","Intron (ENST00000518659.6/57451, intron 11 of 30)",-48033
"KIF26B","Intron (ENST00000407071.7/55083, intron 3 of 14)",27262
"ADCY5","Intron (ENST00000492595.6/26984, intron 5 of 6)",27973
"CDH13","Intron (ENST00000268613.14/1012, intron 2 of 14)",12750
"ALDH1A2","Intron (ENST00000537372.5/8854, intron 2 of 13)",-4702
"FAT4","Distal Intergenic",-30994
"DGKG","Promoter (<=1kb)",504
"PALM","Promoter (2-3kb)",2769
"CES4A","Intron (ENST00000804323.1/ENST00000804323.1, intron 1 of 1)",8808
"PALMD","Promoter (2-3kb)",2025
"TNS1","Promoter (2-3kb)",-2982
"PTPN5","Intron (ENST00000836338.1/ENST00000836338.1, intron 1 of 2)",-52222
"TSHZ2","Intron (ENST00000371497.10/128553, intron 1 of 2)",-26999
"SBK1","3' UTR",29336
"JAKMIP1","Intron (ENST00000531445.3/389197, intron 3 of 33)",-17644
"KLF4","Distal Intergenic",4073
"ZYG11A","3' UTR",-16342
"LYVE1","Intron (ENST00000529829.8/100129827, intron 1 of 2)",3623
"LDB2","Intron (ENST00000515064.5/9079, intron 1 of 7)",31494
"SLC16A9","Intron (ENST00000395348.8/220963, intron 2 of 5)",33383
"ALDH1A2","Distal Intergenic",99269
"LOC107985034","Promoter (<=1kb)",0
"CHST11","Promoter (<=1kb)",412
"KIF1A","Distal Intergenic",-16294
"PRKG1","Intron (ENST00000401604.8/5592, intron 2 of 17)",-78186
"VSTM2L","Promoter (<=1kb)",-735
"SRSF5","Intron (ENST00000553521.5/6430, intron 1 of 8)",4521
"DSC3","Intron (ENST00000583580.1/ENST00000583580.1, intron 2 of 2)",36472
"KCNK7","Promoter (<=1kb)",-447
"MAST4","Intron (ENST00000406374.5/375449, intron 3 of 5)",-14043
"CSMD2","Intron (ENST00000373381.9/114784, intron 31 of 70)",-8412
"NXPH3","Promoter (<=1kb)",-26
"RYR3","Intron (ENST00000415757.7/6263, intron 49 of 102)",13694
"THSD4","Intron (ENST00000355327.7/79875, intron 7 of 17)",-103530
"KCNQ5","Exon (ENST00000405153.1/ENST00000405153.1, exon 1 of 1)",-98774
"TERC","Promoter (1-2kb)",1835
"MMP9","Exon (ENST00000535913.2/109729184, exon 3 of 3)",4986
"RYR3","Intron (ENST00000415757.7/6263, intron 48 of 102)",11665
"LOC102724210","Distal Intergenic",-8473
"TSHZ2","Intron (ENST00000371497.10/128553, intron 2 of 2)",35729
"HSD3B1","Exon (ENST00000756943.1/124904388, exon 5 of 6)",-31062
"PDE2A","Promoter (<=1kb)",0
"LTBP4","Promoter (<=1kb)",851
"SYNE3","Intron (ENST00000557275.5/161176, intron 15 of 16)",23748
"MAOA","Distal Intergenic",6825
"SRD5A3","Distal Intergenic",-33478
"PDE2A","Promoter (2-3kb)",-2446
"MAP1A","Promoter (<=1kb)",765
"LSR","Promoter (<=1kb)",-313
"AKAP6","Intron (ENST00000280979.9/9472, intron 4 of 13)",-56449
"PNPLA5","Intron (ENST00000216177.9/150379, intron 6 of 8)",6766
"SCN7A","Intron (ENST00000650747.1/107985958, intron 4 of 4)",-22520
"PTPRZ1","Intron (ENST00000651065.1/5803, intron 8 of 30)",-16413
"LOC124900729","Intron (ENST00000282470.11/8404, intron 2 of 10)",-23325
"TERC","Distal Intergenic",20243
"CHAF1B","Intron (ENST00000314103.6/8208, intron 3 of 13)",3681
"RELN","Intron (ENST00000343529.9/5649, intron 20 of 63)",20963
"CHPF","Promoter (1-2kb)",1250
"DLG5","Promoter (<=1kb)",-748
"VWC2","Intron (ENST00000340652.5/375567, intron 3 of 3)",79134
"ETS2","Promoter (<=1kb)",0
"CLEC3B","Distal Intergenic",13672
"ESPL1","Promoter (<=1kb)",-107
"RAPGEF3","Promoter (<=1kb)",666
"PRKG1","Intron (ENST00000401604.8/5592, intron 1 of 17)",10855
"AREG","Promoter (<=1kb)",181
"GAREM1","Promoter (<=1kb)",-124
"RERG","Intron (ENST00000393736.3/105369673, intron 2 of 3)",-47657
"NMNAT3","Intron (ENST00000662234.1/100507291, intron 5 of 7)",13331
"MAGI2","Exon (ENST00000627965.1/ENST00000627965.1, exon 1 of 1)",33396
"THSD4","Intron (ENST00000355327.7/79875, intron 7 of 17)",-14057
"MAST4","Intron (ENST00000403625.7/375449, intron 26 of 28)",14677
"CBX2","Promoter (<=1kb)",-369
"GABBR2","Promoter (<=1kb)",31
"ANK2","Distal Intergenic",-55057
"CDC6","Promoter (<=1kb)",-540
"MYOF","Promoter (<=1kb)",-337
"SEMA5A","Intron (ENST00000382496.10/9037, intron 3 of 22)",18020
"TACC2","Intron (ENST00000369005.6/10579, intron 3 of 22)",32173
"MYOC","Intron (ENST00000638471.1/4653, intron 2 of 3)",11291
