"seqnames","start","end","annotation","distanceToTSS","SYMBOL","GENENAME"
"chr8",27085231,27085470,"Distal Intergenic",-36268,"MIR548H4","microRNA 548h-4"
"chr11",46808876,46809115,"Intron (ENST00000529230.6/9793, intron 7 of 43)",-6558,"CKAP5","cytoskeleton associated protein 5"
"chr20",22453334,22453573,"Promoter (<=1kb)",0,"LOC284788","uncharacterized LOC284788"
"chr4",124711499,124711738,"Promoter (<=1kb)",994,"ANKRD50","ankyrin repeat domain containing 50"
"chr18",3322953,3323192,"Intron (ENST00000781279.1/ENST00000781279.1, intron 1 of 1)",25697,"LINC01895","long intergenic non-protein coding RNA 1895"
"chr3",5787950,5788189,"Intron (ENST00000779006.1/102723596, intron 2 of 5)",-21436,"LOC102723596","uncharacterized LOC102723596"
"chr5",54904414,54904653,"Intron (ENST00000736672.1/ENST00000736672.1, intron 1 of 1)",20779,"LOC124900976","uncharacterized LOC124900976"
"chr1",15876502,15876741,"Promoter (<=1kb)",0,"SPEN","spen family transcriptional repressor"
"chr7",20197902,20198141,"Promoter (1-2kb)",-1400,"GIRGL","glutamine insufficiency regulator of glutaminase lncRNA"
"chr10",12707647,12707886,"Intron (ENST00000619168.5/57118, intron 3 of 10)",17467,"MIR548Q","microRNA 548q"
"chr8",42152599,42152838,"Promoter (<=1kb)",-108,"AP3M2","adaptor related protein complex 3 subunit mu 2"
"chr3",32780872,32781111,"Distal Intergenic",11207,"CNOT10","CCR4-NOT transcription complex subunit 10"
"chr9",101711416,101711655,"Intron (ENST00000764873.1/ENST00000764873.1, intron 2 of 4)",26992,"GRIN3A","glutamate ionotropic receptor NMDA type subunit 3A"
"chr13",25085244,25085483,"Distal Intergenic",-10120,"LOC105370120","uncharacterized LOC105370120"
"chr3",56802184,56802423,"Promoter (<=1kb)",-235,"ARHGEF3","Rho guanine nucleotide exchange factor 3"
"chr10",79468240,79468479,"Distal Intergenic",15771,"LOC105378383","uncharacterized LOC105378383"
"chr11",67691225,67691464,"Distal Intergenic",-10001,"ALDH3B2","aldehyde dehydrogenase 3 family member B2"
"chr15",84035468,84035707,"Intron (ENST00000567476.1/57188, intron 28 of 29)",-44221,"EFL1P1","elongation factor like GTPase 1 pseudogene 1"
"chr2",80288546,80288785,"3' UTR",15489,"LRRTM1","leucine rich repeat transmembrane neuronal 1"
"chr15",71784777,71785016,"Distal Intergenic",-7622,"NR2E3","nuclear receptor subfamily 2 group E member 3"
"chr1",2315229,2315468,"Promoter (<=1kb)",0,"LOC124903824","uncharacterized LOC124903824"
"chrX",115948132,115948371,"Intron (ENST00000664453.1/642776, intron 1 of 3)",20626,"DANT2","DXZ4 associated non-coding transcript 2, distal"
"chr10",15262109,15262348,"Intron (ENST00000378116.9/221061, intron 3 of 7)",-13402,"FAM171A1","family with sequence similarity 171 member A1"
"chr22",23541822,23542061,"Intron (ENST00000626825.1/124900476, intron 2 of 3)",4923,"LOC124900476","endogenous retrovirus group K member 5 Gag polyprotein-like"
"chr7",158355612,158355851,"Intron (ENST00000389413.7/5799, intron 2 of 21)",176962,"MIR595","microRNA 595"
"chr5",78300533,78300772,"Distal Intergenic",-5771,"AP3B1","adaptor related protein complex 3 subunit beta 1"
"chr9",68560116,68560355,"Intron (ENST00000413269.3/105376072, intron 2 of 4)",5328,"LINC01506","long intergenic non-protein coding RNA 1506"
"chr5",50751108,50751347,"Intron (ENST00000503790.6/79668, intron 4 of 6)",83215,"PARP8","poly(ADP-ribose) polymerase family member 8"
"chr2",100422391,100422630,"Distal Intergenic",-4723,"CHST10","carbohydrate sulfotransferase 10"
"chr6",27177752,27177991,"Exon (ENST00000776751.1/ENST00000776751.1, exon 2 of 2)",30126,"MIR3143","microRNA 3143"
"chr7",22296064,22296303,"Intron (ENST00000665637.1/9771, intron 5 of 25)",-4823,"RAPGEF5","Rap guanine nucleotide exchange factor 5"
"chr7",88789526,88789765,"Intron (ENST00000333190.5/219578, intron 1 of 3)",5972,"TEX47","testis expressed 47"
"chr18",6683300,6683539,"Exon (ENST00000793276.1/ENST00000793276.1, exon 1 of 4)",-46177,"ARHGAP28","Rho GTPase activating protein 28"
"chr11",1566895,1567134,"Promoter (<=1kb)",-959,"DUSP8","dual specificity phosphatase 8"
"chr4",139692381,139692620,"Intron (ENST00000616265.4/4258, intron 2 of 5)",26353,"MGST2","microsomal glutathione S-transferase 2"
"chr1",160748224,160748463,"Promoter (1-2kb)",-1960,"SLAMF7","SLAM family member 7"
"chr5",80686845,80687084,"Intron (ENST00000670357.1/4437, intron 8 of 24)",-28121,"MSH3","mutS homolog 3"
"chr14",20663022,20663261,"Intron (ENST00000736012.1/124903281, intron 2 of 2)",9694,"LOC124903281","uncharacterized LOC124903281"
"chr8",27454641,27454880,"Promoter (<=1kb)",610,"PTK2B","protein tyrosine kinase 2 beta"
"chr1",113976948,113977187,"Promoter (2-3kb)",-2204,"OLFML3","olfactomedin like 3"
"chr21",36104718,36104957,"Promoter (<=1kb)",0,"LOC105369306","uncharacterized LOC105369306"
"chr6",79431544,79431783,"Intron (ENST00000653689.1/100506851, intron 3 of 4)",9397,"LOC100506851","uncharacterized LOC100506851"
"chr3",110314597,110314836,"Distal Intergenic",-125232,"LOC105374036","uncharacterized LOC105374036"
"chr3",139629144,139629383,"Intron (ENST00000658348.1/100507291, intron 5 of 6)",-46067,"NMNAT3","nicotinamide nucleotide adenylyltransferase 3"
"chr14",93132526,93132765,"Distal Intergenic",-16206,"ITPK1","inositol-tetrakisphosphate 1-kinase"
"chr1",192477687,192477926,"Intron (ENST00000642855.1/105371664, intron 6 of 7)",-84773,"LOC124904472","uncharacterized LOC124904472"
"chr20",19903196,19903435,"Intron (ENST00000255006.12/54453, intron 3 of 12)",13630,"RIN2","Ras and Rab interactor 2"
"chr2",151777574,151777813,"Distal Intergenic",-43087,"NEB","nebulin"
"chr12",120234761,120235000,"Intron (ENST00000267257.11/5829, intron 1 of 10)",-7917,"PXN","paxillin"
"chr2",203225491,203225730,"Intron (ENST00000434469.1/65065, intron 5 of 5)",-13247,"CYP20A1","cytochrome P450 family 20 subfamily A member 1"
"chr17",65797904,65798143,"Intron (ENST00000535342.7/201134, intron 21 of 26)",28038,"CEP112","centrosomal protein 112"
"chr1",213017612,213017851,"Promoter (1-2kb)",-1745,"ANGEL2","angel homolog 2"
"chr16",3124705,3124944,"Exon (ENST00000673666.1/81854, exon 4 of 7)",4709,"ZNF213-AS1","ZNF213 antisense RNA 1"
"chr3",72851364,72851603,"Promoter (2-3kb)",-2892,"SHQ1","SHQ1, H/ACA ribonucleoprotein assembly factor"
"chr11",32586630,32586869,"Promoter (2-3kb)",2561,"EIF3M","eukaryotic translation initiation factor 3 subunit M"
"chr2",2844229,2844468,"Distal Intergenic",-3717,"LOC105373390","uncharacterized LOC105373390"
"chr2",173397648,173397887,"Distal Intergenic",32708,"CDCA7","cell division cycle associated 7"
"chr11",12083466,12083705,"Intron (ENST00000725289.1/ENST00000725289.1, intron 1 of 2)",-3166,"LINC02989","long intergenic non-protein coding RNA 2989"
"chr7",152833451,152833690,"Intron (ENST00000377776.7/57180, intron 9 of 9)",22709,"ACTR3B","actin related protein 3B"
"chr4",114384712,114384951,"Distal Intergenic",-19709,"LOC105377378","uncharacterized LOC105377378"
"chr1",110894020,110894259,"Promoter (<=1kb)",-50,"CD53","CD53 molecule"
"chr2",69012903,69013142,"Promoter (<=1kb)",-34,"ANTXR1","ANTXR cell adhesion molecule 1"
"chr14",60559456,60559695,"Distal Intergenic",-43913,"C14orf39","chromosome 14 open reading frame 39"
"chr17",7352380,7352619,"Promoter (<=1kb)",218,"KCTD11","potassium channel tetramerization domain containing 11"
"chr17",50806471,50806710,"Intron (ENST00000729388.1/ENST00000729388.1, intron 1 of 1)",-27940,"WFIKKN2","WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"
"chrX",38260319,38260558,"Intron (ENST00000465127.1/7102, intron 3 of 8)",13384,"RPGR","retinitis pigmentosa GTPase regulator"
"chr16",62225736,62225975,"Distal Intergenic",-188701,"CDH8","cadherin 8"
"chr6",110999716,110999955,"3' UTR",17400,"RPF2","ribosome production factor 2 homolog"
"chr18",48897166,48897405,"Distal Intergenic",16457,"LOC124904355","uncharacterized LOC124904355"
"chr1",156970104,156970343,"Promoter (1-2kb)",1482,"ARHGEF11","Rho guanine nucleotide exchange factor 11"
"chr22",29701296,29701535,"Distal Intergenic",18324,"CABP7-DT","CABP7 divergent transcript"
"chr17",61580153,61580392,"Distal Intergenic",10827,"NACA2","nascent polypeptide associated complex subunit alpha 2"
"chr5",171630128,171630367,"Distal Intergenic",-47226,"LOC105377722","uncharacterized LOC105377722"
"chr8",101453602,101453841,"Intron (ENST00000716497.1/107986962, intron 1 of 2)",-38598,"GRHL2","grainyhead like transcription factor 2"
"chr4",182089398,182089637,"Intron (ENST00000509012.5/90768, intron 1 of 4)",54179,"TENM3-AS1","TENM3 antisense RNA 1"
"chr3",46427578,46427647,"Intron (ENST00000740905.1/ENST00000740905.1, intron 1 of 1)",-3987,"LINC02009","long intergenic non-protein coding RNA 2009"
"chr16",28863311,28863550,"Promoter (<=1kb)",-9,"SH2B1","SH2B adaptor protein 1"
"chr7",74709952,74710191,"Intron (ENST00000650807.1/2969, intron 8 of 34)",4775,"GTF2I","general transcription factor IIi"
"chr17",80891852,80892091,"Intron (ENST00000577161.5/57521, intron 18 of 21)",-30633,"RPTOR","regulatory associated protein of MTOR complex 1"
"chrX",43836487,43836726,"Intron (ENST00000378069.5/4129, intron 3 of 14)",45577,"MAOB","monoamine oxidase B"
"chr1",28368183,28368422,"Promoter (1-2kb)",-1160,"PHACTR4","phosphatase and actin regulator 4"
"chr12",15522652,15522891,"Intron (ENST00000674316.1/5800, intron 10 of 25)",-23453,"PTPRO","protein tyrosine phosphatase receptor type O"
"chr14",69548136,69548375,"Exon (ENST00000796037.1/ENST00000796037.1, exon 2 of 2)",26496,"CCDC177","coiled-coil domain containing 177"
"chr5",140712587,140712826,"Promoter (1-2kb)",1312,"VTRNA1-1","vault RNA 1-1"
"chr13",20704058,20704297,"Promoter (<=1kb)",0,"IL17D","interleukin 17D"
"chr8",72987070,72987309,"Distal Intergenic",-21547,"TERF1","telomeric repeat binding factor 1"
"chr2",79860602,79860841,"Intron (ENST00000466387.5/1496, intron 8 of 21)",5742,"MIR8080","microRNA 8080"
"chr1",219204695,219204934,"Intron (ENST00000460522.5/127018, intron 2 of 3)",-5408,"LYPLAL1","lysophospholipase like 1"
"chr5",138594737,138594976,"Distal Intergenic",-15991,"CTNNA1","catenin alpha 1"
"chr4",144787457,144787696,"Intron (ENST00000650526.1/2993, intron 1 of 14)",52590,"HHIP","hedgehog interacting protein"
"chr16",1564399,1564638,"Promoter (<=1kb)",-289,"IFT140","intraflagellar transport 140"
"chr9",4549165,4549404,"Intron (ENST00000262352.8/6505, intron 2 of 11)",-10401,"SLC1A1","solute carrier family 1 member 1"
"chr17",9554863,9555102,"Promoter (2-3kb)",2408,"STX8","syntaxin 8"
"chr6",3311895,3312134,"Exon (ENST00000607565.1/ENST00000607565.1, exon 1 of 1)",12031,"SLC22A23","solute carrier family 22 member 23"
"chr4",27318819,27319058,"Distal Intergenic",-51249,"LOC124900842","uncharacterized LOC124900842"
"chr5",12023712,12023951,"Distal Intergenic",-119266,"CTNND2","catenin delta 2"
"chr7",85750463,85750702,"Distal Intergenic",275236,"LINC00972","long intergenic non-protein coding RNA 972"
"chrX",129759788,129760027,"Intron (ENST00000371106.4/7512, intron 15 of 20)",-19922,"SASH3","SAM and SH3 domain containing 3"
"chr1",51719222,51719461,"Intron (ENST00000371714.5/114883, intron 7 of 25)",5219,"OSBPL9","oxysterol binding protein like 9"
"chr9",9942866,9943105,"Intron (ENST00000381196.9/5789, intron 4 of 45)",143466,"LOC105375972","uncharacterized LOC105375972"
"chr15",31136069,31136308,"Intron (ENST00000558445.6/4308, intron 1 of 26)",24651,"TRPM1","transient receptor potential cation channel subfamily M member 1"
"chr16",16991788,16992027,"Intron (ENST00000745078.1/ENST00000745078.1, intron 1 of 2)",8901,"LOC102723692","uncharacterized LOC102723692"
"chr12",31959717,31959956,"Promoter (<=1kb)",54,"RESF1","retroelement silencing factor 1"
"chr11",108871250,108871489,"Intron (ENST00000690021.1/1662, intron 17 of 18)",3002,"DDX10","DEAD-box helicase 10"
"chr3",139718516,139718755,"Intron (ENST00000658348.1/100507291, intron 5 of 6)",-40499,"NMNAT3","nicotinamide nucleotide adenylyltransferase 3"
"chr1",31214835,31215074,"Intron (ENST00000373736.7/79570, intron 1 of 6)",-20915,"NKAIN1","sodium/potassium transporting ATPase interacting 1"
"chr17",50705219,50705458,"Promoter (2-3kb)",2197,"ANKRD40","ankyrin repeat domain 40"
"chr12",97308680,97308919,"Distal Intergenic",-32471,"LINC02409","long intergenic non-protein coding RNA 2409"
"chr11",126411979,126412218,"Intron (ENST00000227495.10/6484, intron 9 of 10)",3529,"ST3GAL4","ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"chr5",121870580,121870819,"Promoter (1-2kb)",1622,"LOC105379148","uncharacterized LOC105379148"
"chr5",155049875,155050114,"Distal Intergenic",36120,"KIF4B","kinesin family member 4B"
"chr5",152532701,152532940,"Intron (ENST00000663460.1/124901117, intron 1 of 3)",-99333,"NMUR2","neuromedin U receptor 2"
"chr6",154370601,154370840,"Intron (ENST00000673182.1/154043, intron 12 of 21)",-13798,"IPCEF1","interaction protein for cytohesin exchange factors 1"
"chr9",88874494,88874733,"Distal Intergenic",21438,"LOC124902205","uncharacterized LOC124902205"
"chr9",100136910,100137149,"Intron (ENST00000262457.7/27130, intron 3 of 16)",32371,"INVS","inversin"
"chrX",124098169,124098408,"Intron (ENST00000455404.6/10735, intron 32 of 32)",4665,"STAG2","STAG2 cohesin complex component"
"chr7",42186255,42186494,"Intron (ENST00000678429.1/2737, intron 2 of 14)",-33802,"GLI3","GLI family zinc finger 3"
"chr9",77216022,77216261,"Intron (ENST00000376636.7/23230, intron 10 of 70)",6534,"VPS13A","vacuolar protein sorting 13 homolog A"
"chr18",32072440,32072679,"3' UTR",-19195,"RNF138","ring finger protein 138"
"chr11",134393631,134393870,"Promoter (1-2kb)",-1278,"B3GAT1","beta-1,3-glucuronyltransferase 1"
"chr17",34318557,34318796,"Promoter (<=1kb)",-639,"CCL8","C-C motif chemokine ligand 8"
"chr15",52217217,52217456,"Intron (ENST00000821889.1/105370820, intron 2 of 3)",-3689,"MYO5C","myosin VC"
"chr17",47733028,47733267,"Promoter (<=1kb)",0,"TBX21","T-box transcription factor 21"
"chr16",83356284,83356523,"Intron (ENST00000268613.14/1012, intron 7 of 14)",41464,"CDH13-AS1","CDH13 antisense RNA 1"
"chr3",107543796,107544035,"Intron (ENST00000415149.6/56987, intron 2 of 16)",18394,"BBX","BBX high mobility group box domain containing"
"chr12",56468462,56468701,"Promoter (<=1kb)",0,"SPRYD4","SPRY domain containing 4"
"chr16",7615665,7615904,"Intron (ENST00000641259.1/54715, intron 13 of 19)",18448,"RBFOX1","RNA binding fox-1 homolog 1"
"chr22",39215892,39216131,"Distal Intergenic",24778,"PDGFB","platelet derived growth factor subunit B"
"chr19",6710620,6710859,"Promoter (<=1kb)",98,"C3","complement C3"
"chr10",26534455,26534694,"Intron (ENST00000376236.9/54518, intron 9 of 14)",-27249,"APBB1IP","amyloid beta precursor protein binding family B member 1 interacting protein"
"chr6",168132951,168133190,"Distal Intergenic",-31440,"FRMD1","FERM domain containing 1"
"chr7",150405210,150405325,"Promoter (<=1kb)",64,"LOC728743","zinc finger domain-containing protein LOC728743"
"chr7",4642075,4642314,"Exon (ENST00000741927.1/ENST00000741927.1, exon 1 of 4)",-39981,"FOXK1","forkhead box K1"
"chr11",122202992,122203231,"Promoter (<=1kb)",0,"MIR100HG","mir-100-let-7a-2-mir-125b-1 cluster host gene"
"chr19",30664841,30665080,"Exon (ENST00000593140.2/124904685, exon 2 of 2)",3577,"ZNF536-AS1","ZNF536 antisense RNA 1"
"chr2",64562178,64562417,"Intron (ENST00000695864.1/54812, intron 2 of 9)",9302,"AFTPH","aftiphilin"
"chr3",2156326,2156565,"Intron (ENST00000422330.5/152330, intron 1 of 4)",-12085,"CNTN4-AS2","CNTN4 antisense RNA 2"
"chr8",92073361,92073600,"Promoter (1-2kb)",-1974,"RUNX1T1","RUNX1 partner transcriptional co-repressor 1"
"chr18",74896475,74896714,"Intron (ENST00000299687.10/55628, intron 7 of 8)",19270,"ZNF407","zinc finger protein 407"
"chr13",97849380,97849619,"Distal Intergenic",-104039,"IPO5","importin 5"
"chr18",31626463,31626702,"Intron (ENST00000306851.10/9331, intron 7 of 8)",-15246,"LOC124904277","uncharacterized LOC124904277"
"chr14",104940828,104941067,"5' UTR",8668,"PLD4","phospholipase D family member 4"
"chr5",149439973,149440212,"Distal Intergenic",9327,"MIR145","microRNA 145"
"chr1",111015285,111015524,"Exon (ENST00000423082.1/ENST00000423082.1, exon 1 of 3)",-51320,"LRIF1","ligand dependent nuclear receptor interacting factor 1"
"chr13",22103086,22103325,"Intron (ENST00000721755.1/100506622, intron 1 of 2)",-4084,"LINC00540","long intergenic non-protein coding RNA 540"
"chr14",65605024,65605263,"Intron (ENST00000360689.9/2530, intron 3 of 10)",-31253,"FUT8","fucosyltransferase 8"
"chr15",67081169,67081408,"Intron (ENST00000559460.6/4088, intron 1 of 8)",3183,"SMAD3","SMAD family member 3"
"chr2",240556830,240557069,"Promoter (<=1kb)",337,"ANKMY1","ankyrin repeat and MYND domain containing 1"
"chr1",189149795,189150034,"Promoter (<=1kb)",30,"LOC105371657","uncharacterized LOC105371657"
"chr2",113604288,113604352,"Promoter (<=1kb)",-510,"DDX11L2","DEAD/H-box helicase 11 like 2 (pseudogene)"
"chr4",81425156,81425395,"Distal Intergenic",32207,"RASGEF1B","RasGEF domain family member 1B"
"chr10",122567139,122567378,"Promoter (1-2kb)",1258,"DMBT1","deleted in malignant brain tumors 1"
"chr12",23055102,23055341,"Intron (ENST00000538317.6/107984516, intron 8 of 11)",33315,"LINC02955","long intergenic non-protein coding RNA 2955"
"chr16",17476803,17477042,"Intron (ENST00000724331.1/105371106, intron 3 of 3)",4752,"LOC105371106","uncharacterized LOC105371106"
"chr1",229843839,229844078,"Intron (ENST00000650825.1/105373162, intron 5 of 8)",-7444,"LOC105373162","uncharacterized LOC105373162"
"chr3",37912111,37912350,"Intron (ENST00000273179.10/10217, intron 1 of 7)",-32364,"CTDSPL","CTD small phosphatase like"
"chr10",69801142,69801381,"Promoter (<=1kb)",0,"LOC124902444","uncharacterized LOC124902444"
"chrX",2614977,2615216,"Promoter (<=1kb)",0,"CD99P1","CD99 molecule pseudogene 1"
"chr6",49623134,49623373,"Intron (ENST00000371175.10/6005, intron 1 of 9)",-7867,"RHAG","Rh associated glycoprotein"
"chr8",46219003,46219242,"Distal Intergenic",395281,"ASNSP1","ASNS pseudogene 1"
"chr22",33923747,33923986,"Promoter (<=1kb)",-906,"LARGE1","LARGE xylosyl- and glucuronyltransferase 1"
"chr9",26856470,26856709,"Intron (ENST00000333916.8/79886, intron 5 of 5)",30769,"CAAP1","caspase activity and apoptosis inhibitor 1"
"chr9",121930587,121930826,"Intron (ENST00000321582.11/158135, intron 6 of 8)",32893,"TTLL11","tubulin tyrosine ligase like 11"
"chr6",1893795,1894034,"Intron (ENST00000530927.5/2762, intron 7 of 10)",36965,"GMDS","GDP-mannose 4,6-dehydratase"
"chr3",13302247,13302486,"Distal Intergenic",18387,"NUP210","nucleoporin 210"
"chr3",112437669,112437908,"Intron (ENST00000793585.1/ENST00000793585.1, intron 2 of 2)",-14687,"LOC105374041","uncharacterized LOC105374041"
"chr10",129877842,129878081,"Exon (ENST00000440978.2/253738, exon 7 of 17)",20204,"EBF3-AS1","EBF3 antisense RNA 1"
"chr11",70549030,70549269,"Intron (ENST00000601538.6/22941, intron 17 of 25)",-61310,"SHANK2","SH3 and multiple ankyrin repeat domains 2"
"chr5",113663959,113664198,"Intron (ENST00000810862.1/107986441, intron 3 of 4)",-14946,"LOC107986441","uncharacterized LOC107986441"
"chr3",185907306,185907545,"Distal Intergenic",14562,"TRA2B","transformer 2 beta homolog"
"chr13",43874582,43874821,"Promoter (<=1kb)",105,"CCDC122","coiled-coil domain containing 122"
"chr5",133489662,133489901,"Intron (ENST00000265342.12/23105, intron 3 of 15)",-61956,"MIR1289-2","microRNA 1289-2"
"chr22",50190435,50190674,"Promoter (<=1kb)",0,"TRABD","TraB domain containing"
"chr18",45839513,45839752,"Promoter (<=1kb)",991,"SIGLEC15","sialic acid binding Ig like lectin 15"
"chr2",232537078,232537317,"Promoter (2-3kb)",-2375,"CHRNG","cholinergic receptor nicotinic gamma subunit"
"chr12",125549920,125550159,"Intron (ENST00000682704.1/114795, intron 4 of 8)",-72293,"TMEM132B","transmembrane protein 132B"
"chr14",37903656,37903895,"Promoter (1-2kb)",-1284,"LINC00517","long intergenic non-protein coding RNA 517"
"chr18",35939259,35939498,"Intron (ENST00000773858.1/ENST00000773858.1, intron 1 of 1)",-5117,"MIR3929","microRNA 3929"
"chr19",14361803,14362042,"Promoter (1-2kb)",1851,"LINC01841","long intergenic non-protein coding RNA 1841"
"chr15",37764729,37764968,"Distal Intergenic",92977,"LOC105370773","uncharacterized LOC105370773"
"chr8",10915887,10916126,"Intron (ENST00000382461.8/286046, intron 2 of 2)",65216,"LOC101929248","uncharacterized LOC101929248"
"chr17",74646365,74646604,"Distal Intergenic",-22627,"CD300E","CD300e molecule"
"chr3",107676785,107677024,"Promoter (1-2kb)",1980,"BBX","BBX high mobility group box domain containing"
"chr5",141757476,141757715,"Intron (ENST00000732555.1/ENST00000732555.1, intron 1 of 1)",17472,"LOC124901094","uncharacterized LOC124901094"
"chr2",47857905,47858144,"Intron (ENST00000682451.1/80204, intron 1 of 22)",-21943,"FBXO11","F-box protein 11"
"chr5",142141546,142141785,"Promoter (1-2kb)",-1193,"NDFIP1","Nedd4 family interacting protein 1"
"chr4",20422508,20422747,"Intron (ENST00000504154.6/9353, intron 4 of 36)",30339,"SLIT2-IT1","SLIT2 intronic transcript 1"
"chr5",43008568,43008807,"Promoter (1-2kb)",1408,"FLJ32255","uncharacterized LOC643977"
"chr9",36862208,36862447,"Promoter (1-2kb)",1861,"MIR4540","microRNA 4540"
"chr17",41417564,41417803,"Intron (ENST00000731575.1/ENST00000731575.1, intron 1 of 1)",6782,"KRT37","keratin 37"
"chr14",69002136,69002375,"Distal Intergenic",22454,"ACTN1-DT","ACTN1 divergent transcript"
"chr7",34928031,34928270,"3' UTR",11025,"DPY19L1","dpy-19 like C-mannosyltransferase 1"
"chr8",6258525,6258764,"Promoter (<=1kb)",-988,"LOC105377797","uncharacterized LOC105377797"
"chr8",124589467,124589706,"Exon (ENST00000518547.6/9788, exon 5 of 14)",-20626,"MTSS1","MTSS I-BAR domain containing 1"
"chr4",176277636,176277875,"Promoter (<=1kb)",-65,"ASB5","ankyrin repeat and SOCS box containing 5"
"chr3",54999284,54999523,"Intron (ENST00000474759.6/55799, intron 31 of 37)",-8253,"CACNA2D3","calcium voltage-gated channel auxiliary subunit alpha2delta 3"
"chr2",174145896,174146135,"Intron (ENST00000284719.8/29789, intron 4 of 10)",-21581,"OLA1","Obg like ATPase 1"
"chr19",46568510,46568749,"Intron (ENST00000602017.8/100506012, intron 1 of 3)",-27936,"PPP5D1P","PPP5 tetratricopeptide repeat domain containing 1, pseudogene"
"chr11",5808510,5808749,"Promoter (<=1kb)",-175,"OR52N2","olfactory receptor family 52 subfamily N member 2"
"chr2",201419111,201419350,"Exon (ENST00000451703.5/66008, exon 3 of 3)",14204,"TRAK2","trafficking kinesin protein 2"
"chrX",102840989,102841228,"Intron (ENST00000717311.1/100528062, intron 5 of 6)",13957,"LINC00630","long intergenic non-protein coding RNA 630"
"chr8",72210864,72211103,"Intron (ENST00000803291.1/ENST00000803291.1, intron 1 of 1)",40462,"TRPA2P","transient receptor potential cation channel subfamily A member 2, pseudogene"
"chr12",117136190,117136429,"Intron (ENST00000776495.1/101928244, intron 2 of 2)",-4511,"TESC-AS1","TESC antisense RNA 1"
"chr4",77599481,77599720,"Intron (ENST00000286758.4/10563, intron 1 of 4)",-6100,"CXCL13","C-X-C motif chemokine ligand 13"
"chr4",25993778,25994017,"Distal Intergenic",65563,"SMIM20","small integral membrane protein 20"
"chr1",207454600,207454839,"Promoter (<=1kb)",0,"CR2","complement C3d receptor 2"
"chr3",12896130,12896369,"Intron (ENST00000748200.1/105376956, intron 1 of 1)",-10919,"LINC02022","long intergenic non-protein coding RNA 2022"
"chr9",122356719,122356958,"Distal Intergenic",-13572,"PTGS1","prostaglandin-endoperoxide synthase 1"
"chr9",90985279,90985518,"Intron (ENST00000850630.1/105379829, intron 2 of 3)",-11388,"LINC02957","long intergenic non-protein coding RNA 2957"
"chr5",87424909,87425148,"Intron (ENST00000644559.1/105379066, intron 1 of 4)",-11880,"CCNH","cyclin H"
"chr3",9249621,9249860,"Promoter (<=1kb)",0,"SRGAP3-AS4","SRGAP3 antisense RNA 4"
"chr8",80489966,80490205,"Intron (ENST00000379091.8/65986, intron 1 of 5)",3740,"ZBTB10","zinc finger and BTB domain containing 10"
"chr22",23094978,23095217,"Intron (ENST00000615612.2/2781, intron 1 of 2)",24404,"GNAZ","G protein subunit alpha z"
"chr5",152560598,152560837,"Intron (ENST00000663460.1/124901117, intron 2 of 3)",123873,"LINC01470","long intergenic non-protein coding RNA 1470"
"chr2",101518983,101519222,"Distal Intergenic",39593,"LINC01870","long intergenic non-protein coding RNA 1870"
"chr3",22564174,22564413,"Distal Intergenic",-190853,"ZNF385D","zinc finger protein 385D"
"chr15",23857110,23857349,"Distal Intergenic",-55060,"LOC124903447","uncharacterized LOC124903447"
"chr9",98383848,98384087,"Intron (ENST00000259455.4/9568, intron 11 of 18)",4800,"GABBR2","gamma-aminobutyric acid type B receptor subunit 2"
"chr6",63802681,63802920,"Promoter (2-3kb)",-2877,"SCAT8","S-phase cancer associated transcript 8"
"chr8",124251713,124251952,"Distal Intergenic",-4315,"LOC101927588","uncharacterized LOC101927588"
"chr2",233028939,233029178,"Distal Intergenic",-3494,"NEU2","neuraminidase 2"
"chr1",70324767,70325006,"Promoter (<=1kb)",0,"ANKRD13C","ankyrin repeat domain 13C"
"chr13",108155559,108155798,"Distal Intergenic",59388,"LIG4","DNA ligase 4"
"chr16",48526558,48526797,"Exon (ENST00000730333.1/ENST00000730333.1, exon 1 of 3)",19787,"N4BP1","NEDD4 binding protein 1"
"chr7",107205445,107205684,"Intron (ENST00000297135.9/10466, intron 21 of 21)",9463,"HBP1","HMG-box transcription factor 1"
"chr12",51217988,51218227,"Promoter (<=1kb)",0,"POU6F1","POU class 6 homeobox 1"
"chr1",248686905,248687144,"Intron (ENST00000695265.1/401994, intron 3 of 4)",-4577,"LYPD9P","LY6/PLAUR domain containing 9, pseudogene"
"chr16",30867837,30868076,"Intron (ENST00000380317.8/9274, intron 5 of 5)",-7146,"MIR762HG","MIR762 host gene"
"chr11",74701392,74701631,"Exon (ENST00000263671.9/25884, exon 10 of 12)",3004,"CHRDL2","chordin like 2"
"chr3",12876016,12876255,"Promoter (<=1kb)",356,"LOC105376956","uncharacterized LOC105376956"
"chr5",69266034,69266273,"Intron (ENST00000629350.2/1022, intron 4 of 7)",30891,"CDK7","cyclin dependent kinase 7"
"chr4",3880628,3880867,"Distal Intergenic",43394,"LOC124900652","uncharacterized LOC124900652"
"chr16",71649003,71649242,"Exon (ENST00000568954.5/23035, exon 19 of 19)",14729,"PHLPP2","PH domain and leucine rich repeat protein phosphatase 2"
"chr11",68950359,68950598,"Distal Intergenic",12619,"IGHMBP2","immunoglobulin mu DNA binding protein 2"
